39.8806 	EXP 	grating: ori = 3.0
39.8806 	EXP 	fixation: autoDraw = True
40.8663 	EXP 	grating: autoDraw = True
40.8760 	EXP 	fixation: autoDraw = False
41.1651 	EXP 	grating: autoDraw = False
41.5830 	EXP 	New trial (rep=13, index=0): None
41.5877 	DATA 	Keypress: down
41.5927 	EXP 	fixation: autoDraw = False
41.5927 	EXP 	grating: autoDraw = False
41.5927 	EXP 	grating: ori = 0.0
41.5927 	EXP 	fixation: autoDraw = True
42.5754 	EXP 	grating: autoDraw = True
42.5808 	EXP 	fixation: autoDraw = False
42.8640 	EXP 	grating: autoDraw = False
43.2163 	EXP 	New trial (rep=14, index=0): None
43.2210 	DATA 	Keypress: up
43.2262 	EXP 	fixation: autoDraw = False
43.2262 	EXP 	grating: autoDraw = False
43.2262 	EXP 	grating: ori = -2.0
43.2262 	EXP 	fixation: autoDraw = True
44.2088 	EXP 	grating: autoDraw = True
44.2142 	EXP 	fixation: autoDraw = False
44.4981 	EXP 	grating: autoDraw = False
45.3835 	EXP 	New trial (rep=15, index=0): None
45.3886 	DATA 	Keypress: down
45.3933 	EXP 	fixation: autoDraw = False
45.3933 	EXP 	grating: autoDraw = False
45.3933 	EXP 	grating: ori = 0.0
45.3933 	EXP 	fixation: autoDraw = True
46.3751 	EXP 	grating: autoDraw = True
46.3927 	EXP 	fixation: autoDraw = False
46.6649 	EXP 	grating: autoDraw = False
47.1660 	EXP 	New trial (rep=16, index=0): None
47.1705 	DATA 	Keypress: up
47.1756 	EXP 	fixation: autoDraw = False
47.1756 	EXP 	grating: autoDraw = False
47.1756 	EXP 	grating: ori = -5.0
47.1756 	EXP 	fixation: autoDraw = True
48.1590 	EXP 	grating: autoDraw = True
48.1645 	EXP 	fixation: autoDraw = False
48.4481 	EXP 	grating: autoDraw = False
48.7171 	EXP 	New trial (rep=17, index=0): None
48.7220 	DATA 	Keypress: down
48.7266 	EXP 	fixation: autoDraw = False
48.7266 	EXP 	grating: autoDraw = False
48.7266 	EXP 	grating: ori = 0.0
48.7266 	EXP 	fixation: autoDraw = True
49.7090 	EXP 	grating: autoDraw = True
49.7142 	EXP 	fixation: autoDraw = False
49.9982 	EXP 	grating: autoDraw = False
50.9669 	EXP 	New trial (rep=18, index=0): None
50.9718 	DATA 	Keypress: up
50.9769 	EXP 	fixation: autoDraw = False
50.9769 	EXP 	grating: autoDraw = False
50.9769 	EXP 	grating: ori = 4.0
50.9769 	EXP 	fixation: autoDraw = True
51.9591 	EXP 	grating: autoDraw = True
51.9762 	EXP 	fixation: autoDraw = False
52.2493 	EXP 	grating: autoDraw = False
52.5397 	EXP 	New trial (rep=19, index=0): None
52.5443 	DATA 	Keypress: down
52.5488 	EXP 	fixation: autoDraw = False
52.5488 	EXP 	grating: autoDraw = False
