tilt,condition,response_key.keys,response_key.corr,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
2,false alarm,up,0,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
-4,false alarm,up,0,,,,,,,,,,,,
-4,correct rejection,down,1,,,,,,,,,,,,
1,false alarm,up,0,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
0,hit,up,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
