trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
187,0,187,0,5,329.088164200999,329.088164200999,0.023589024000102654,[-0.023333333333333334],[-0.3811111111111111],[1],[0],[0],[1.8210526539987768],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
188,0,188,0,5,330.9408245529994,330.9408245529994,0.022366755998518784,[0.2966666666666667],[-0.19],[1],[0],[0],[1.6132052729954012],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
189,0,189,0,10,332.60806002699974,332.60806002699974,0.04181611000240082,[0.12666666666666668],[-0.1688888888888889],[1],[0],[0],[2.0023519400056102],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
190,0,190,0,10,334.66028132599604,334.66028132599604,0.04302011400432093,[0.33555555555555555],[-0.38666666666666666],[1],[0],[0],[1.7770804789979593],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
191,0,191,0,5,336.4613641159958,336.4613641159958,0.02302131000033114,[-0.45111111111111113],[-0.15333333333333332],[1],[0],[0],[1.6406421679930645],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
192,0,192,0,10,338.1630154919985,338.1630154919985,0.04241666899906704,[-0.29333333333333333],[-0.17666666666666667],[1],[0],[0],[1.515717845002655],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
193,0,193,0,5,339.6987250979946,339.6987250979946,0.023885624003014527,[-0.31],[-0.034444444444444444],[1],[0],[0],[1.2637453400020604],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
194,0,194,0,10,341.02550535599585,341.02550535599585,0.0433576150026056,"[-0.30444444444444446, -0.2877777777777778, -0.28444444444444444]","[-0.45444444444444443, -0.4311111111111111, -0.45]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.555877225000586, 5.047909387998516, 5.8589100199969835]",['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
195,0,195,0,10,346.93228210499365,346.93228210499365,0.04306467300193617,[0.4822222222222222],[-0.33111111111111113],[1],[0],[0],[2.1955647130016587],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
196,0,196,0,5,349.1457947109957,349.1457947109957,0.023842263995902613,[-0.024444444444444446],[0.24888888888888888],[1],[0],[0],[3.9082540119998157],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
197,0,197,0,10,353.1157787399934,353.1157787399934,0.04651079800532898,[-0.06222222222222222],[0.4533333333333333],[1],[0],[0],[1.227020188998722],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
198,0,198,0,5,354.3767259879969,354.3767259879969,0.03044675699493382,[0.4477777777777778],[0.2477777777777778],[1],[0],[0],[1.1648063769971486],['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
199,0,199,0,10,355.59189213999343,355.59189213999343,0.04325226100627333,"[0.44555555555555554, 0.44555555555555554]","[-0.4477777777777778, -0.4677777777777778]","[1, 1]","[0, 0]","[0, 0]","[2.541223804000765, 3.0746921120007755]",['Target'],395590,001,2023-09-26_16h05.29.731,Visual Search_15 September,2023.1.3,None,
