trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
187,0,187,0,5,427.4201851669932,0.013785250019282103,[-0.43666666666666665],[0.3233333333333333],[1],[0],[0],[1.5119129579979926],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
188,0,188,0,5,428.9497746670386,0.013902249978855252,[-0.4022222222222222],[0.29888888888888887],[1],[0],[0],[0.943525500013493],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
189,0,189,0,10,429.9290146250278,0.028459208086133003,[-0.4011111111111111],[0.4866666666666667],[1],[0],[0],[1.7610047499183565],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
190,0,190,0,5,431.70384283398744,0.013871125061996281,[-0.04666666666666667],[0.4622222222222222],[1],[0],[0],[1.082556290901266],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
191,0,191,0,10,432.81927454203833,0.025693916948512197,[-0.3188888888888889],[0.1322222222222222],[1],[0],[0],[1.4882730420213193],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
192,0,192,0,10,434.3370305420831,0.025686125038191676,"[0.3566666666666667, 0.3477777777777778]","[-0.021111111111111112, -0.021111111111111112]","[1, 1]","[0, 0]","[0, 0]","[3.4959700419567525, 3.9568561669439077]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
193,0,193,0,5,438.30804925004486,0.01432608300819993,"[-0.22555555555555556, -0.21888888888888888, -0.2111111111111111]","[-0.051111111111111114, -0.051111111111111114, -0.05333333333333334]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.9426944160368294, 2.38411620806437, 3.2418667500605807]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
194,0,194,0,5,441.56725666706916,0.013769041979685426,[0.4677777777777778],[-0.24222222222222223],[1],[0],[0],[2.131796957924962],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
195,0,195,0,10,443.7319695840124,0.02575216698460281,"[-0.45666666666666667, -0.45666666666666667, -0.45666666666666667]","[0.3333333333333333, 0.3333333333333333, 0.3211111111111111]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[1.258552166982554, 1.736319874995388, 2.199583000037819]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
196,0,196,0,10,445.9607608340448,0.025735875009559095,"[0.31666666666666665, 0.30333333333333334]","[-0.3711111111111111, -0.40555555555555556]","[1, 1]","[0, 0]","[0, 0]","[3.7161684159655124, 4.316255124984309]",['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
197,0,197,0,10,450.3064962499775,0.026072582928463817,[-0.23555555555555555],[-0.1688888888888889],[1],[0],[0],[1.217695333994925],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
198,0,198,0,5,451.53792062506545,0.013768541044555604,[-0.2111111111111111],[0.2911111111111111],[1],[0],[0],[1.1791361659998074],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
199,0,199,0,10,452.74975337507203,0.025618249899707735,[-0.16777777777777778],[0.29444444444444445],[1],[0],[0],[0.8074592089978978],['target'],Mey,001,2023-09-26_15h22.45.493,visual_search,2023.1.3,None,
