trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
75,0,75,0,10,257.6557708,257.6557708,0.05311724,258.6597059,[-0.4111111111111111],[-0.45925925925925926],[1],[0],[0],[4.117290459573269],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
76,0,76,0,5,261.795127,261.795127,0.024351513,262.8040786,[-0.36944444444444446],[0.3055555555555556],[1],[0],[0],[2.1863312236964703],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
77,0,77,0,10,264.0419813,264.0419813,0.05037991,265.051023,[0.010185185185185186],[-0.23703703703703705],[1],[0],[0],[2.9097752701491117],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
78,0,78,0,10,267.007524,267.007524,0.051233687,268.015132,[0.32222222222222224],[-0.1287037037037037],[1],[0],[0],[2.2589173167943954],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
79,0,79,0,5,269.291051,269.291051,0.026921285,270.2964319,[-0.14351851851851852],[0.19537037037037036],[1],[0],[0],[2.1167491264641285],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
80,0,80,0,10,271.4697747,271.4697747,0.052734129,272.4779169,[-0.16203703703703703],[-0.28055555555555556],[1],[0],[0],[3.323334092274308],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
81,0,81,0,10,274.8496443,274.8496443,0.051160797,275.8581816,[-0.1814814814814815],[0.4046296296296296],[1],[0],[0],[1.926248574629426],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
82,0,82,0,10,276.8305741,276.8305741,0.050881686,277.8400203,[-0.022222222222222223],[0.19166666666666668],[1],[0],[0],[1.9103477150201797],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
83,0,83,0,10,278.801603,278.801603,0.053233238,279.8047666,[-0.19074074074074074],[0.35],[1],[0],[0],[2.6909694373607635],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
84,0,84,0,5,281.5134915,281.5134915,0.025973288,282.5190773,[0.07407407407407407],[-0.1712962962962963],[1],[0],[0],[2.616588681936264],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
