trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,number of distractors,fixation.started,target.started,mouse.started,fixation.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,10,51.10014516,51.10014516,0.058115007,52.10365893,[0.24722222222222223],[-0.019444444444444445],[1],[0],[0],[2.7519191093742847],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
1,0,1,0,5,53.86200291,53.86200291,0.025641732,,[0.24722222222222223],[-0.019444444444444445],[1],[0],[0],[0.5352932699024677],[],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
2,0,2,0,5,54.42912546,54.42912546,0.027288839,55.4340619,[-0.16296296296296298],[-0.47129629629629627],[1],[0],[0],[3.432189453393221],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
3,0,3,0,10,57.92089747,57.92089747,0.050196799,58.93108501,[0.2712962962962963],[-0.44351851851851853],[1],[0],[0],[2.377309551462531],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
4,0,4,0,5,60.32301231,60.32301231,0.02740973,61.32897764,[-0.4083333333333333],[0.20833333333333334],[1],[0],[0],[1.7501595560461283],[],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
5,0,5,0,10,62.13507665,62.13507665,0.050857244,63.14402863,[0.007407407407407408],[0.40185185185185185],[1],[0],[0],[2.759170649573207],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
6,0,6,0,10,64.94780587,64.94780587,0.048750581,65.9582783,[-0.2574074074074074],[0.4398148148148148],[1],[0],[0],[3.69432676397264],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
7,0,7,0,5,68.66536193,68.66536193,0.02648662,69.67174681,[-0.2111111111111111],[-0.25555555555555554],[1],[0],[0],[2.267575079575181],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
8,0,8,0,10,70.99462134,70.99462134,0.051106576,72.00293688,[-0.39444444444444443],[-0.21574074074074073],[1],[0],[0],[3.624406000599265],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
9,0,9,0,10,74.67436413,74.67436413,0.051299019,75.68299656,[0.32592592592592595],[-0.06111111111111111],[1],[0],[0],[2.8923646360635757],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
10,0,10,0,5,77.59002917,77.59002917,0.026296398,78.59715316,[0.09537037037037037],[-0.23055555555555557],[1],[0],[0],[1.6847614496946335],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
11,0,11,0,5,79.30420301,79.30420301,0.024613732,80.31237278,[0.022222222222222223],[-0.4185185185185185],[1],[0],[0],[2.602768262848258],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
12,0,12,0,10,81.96453517,81.96453517,0.048653692,82.97673426,[-0.08055555555555556],[0.2796296296296296],[1],[0],[0],[2.4783787056803703],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
13,0,13,0,10,84.49544401,84.49544401,0.048053693,85.49662756,[-0.41388888888888886],[-0.39166666666666666],[1],[0],[0],[3.2620110902935266],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
14,0,14,0,5,87.78223417,87.78223417,0.026979063,88.7883026,[-0.044444444444444446],[-0.14814814814814814],[1],[0],[0],[1.9836844746023417],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
15,0,15,0,10,89.8272572,89.8272572,0.048633691,90.83648518,[0.45740740740740743],[0.028703703703703703],[1],[0],[0],[2.5603527799248695],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
16,0,16,0,10,92.44192277,92.44192277,0.050656799,93.45087164,[0.05648148148148148],[0.262037037037037],[1],[0],[0],[1.4771902617067099],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
17,0,17,0,5,93.94122055,93.94122055,0.024512401,94.94960631,[-0.4212962962962963],[-0.26296296296296295],[1],[0],[0],[1.9698924981057644],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
18,0,18,0,10,95.97028583,95.97028583,0.04903058,96.98111914,[-0.22407407407407406],[-0.01574074074074074],[1],[0],[0],[1.8953530732542276],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
19,0,19,0,5,97.88760376,97.88760376,0.024775067,98.89610685,[-0.33240740740740743],[0.3472222222222222],[1],[0],[0],[1.786250602453947],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
20,0,20,0,10,99.73104581,99.73104581,0.047603028,100.7445351,[0.24166666666666667],[-0.43703703703703706],[1],[0],[0],[2.7957083638757467],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
21,0,21,0,10,102.5806861,102.5806861,0.049683023,103.5920967,[0.1648148148148148],[0.2222222222222222],[1],[0],[0],[2.5774940829724073],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
22,0,22,0,10,105.212493,105.212493,0.050488798,106.2230392,[-0.4305555555555556],[0.36203703703703705],[1],[0],[0],[2.044252810999751],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
23,0,23,0,5,107.2798151,107.2798151,0.024297291,108.2879102,[0.4462962962962963],[-0.41944444444444445],[1],[0],[0],[3.6182517893612385],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
24,0,24,0,10,110.9570596,110.9570596,0.048323024,111.9680089,[0.26851851851851855],[0.2861111111111111],[1],[0],[0],[2.1960125416517258],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
25,0,25,0,10,113.2076085,113.2076085,0.051400797,114.2160498,[-0.09166666666666666],[-0.1685185185185185],[1],[0],[0],[3.0249617341905832],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
26,0,26,0,5,116.2584227,116.2584227,0.02757195,,[-0.09259259259259259],[-0.1685185185185185],[1],[0],[0],[0.9171077031642199],[],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
27,0,27,0,5,117.2036676,117.2036676,0.024473734,118.2126312,[0.12407407407407407],[-0.4166666666666667],[1],[0],[0],[1.954908523708582],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
28,0,28,0,10,119.2189467,119.2189467,0.049543913,120.2274885,[-0.3296296296296296],[0.08981481481481482],[1],[0],[0],[3.408325495198369],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
29,0,29,0,5,122.6494775,122.6494775,0.02498129,123.6577313,[-0.07777777777777778],[-0.412962962962963],[1],[0],[0],[1.985887136310339],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
30,0,30,0,10,124.6993894,124.6993894,0.053220795,125.7059876,[-0.43796296296296294],[0.34629629629629627],[1],[0],[0],[2.956876965239644],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
31,0,31,0,10,127.7100112,127.7100112,0.05125013,128.7200721,[-0.10925925925925926],[0.4546296296296296],[1],[0],[0],[1.9926226790994406],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
32,0,32,0,5,129.7280894,129.7280894,0.026151953,130.7349814,[0.10462962962962963],[-0.007407407407407408],[1],[0],[0],[1.7352929152548313],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
33,0,33,0,10,131.5241462,131.5241462,0.049872356,132.5333617,[-0.03981481481481482],[0.41203703703703703],[1],[0],[0],[2.277125284075737],['target'],MUSKANTUTORIAL3FINAL,1,2023-09-26_04h40.21.309,tutorial3_muskanjain_au2120087,2023.1.3,60.09882914
